ticker,industry,name,period,unit,value,group
HAG,Thực phẩm và đồ uống,Tài sản cố định,Q4-2024,Tỷ VND,6567.01,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản cố định,Q4-2024,Tỷ VND,4789.77,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản cố định,Q4-2024,Tỷ VND,2394.36,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản cố định,Q4-2024,Tỷ VND,1481.99,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản cố định,Q3-2024,Tỷ VND,6030.32,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản cố định,Q3-2024,Tỷ VND,4848.92,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản cố định,Q3-2024,Tỷ VND,1799.81,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản cố định,Q3-2024,Tỷ VND,868.73,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản cố định,Q2-2024,Tỷ VND,5602.0,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản cố định,Q2-2024,Tỷ VND,4959.72,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản cố định,Q2-2024,Tỷ VND,1776.9,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản cố định,Q2-2024,Tỷ VND,879.15,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Nợ phải trả,Q2-2025,Tỷ VND,15635.82,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ phải trả,Q2-2025,Tỷ VND,6996.91,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ phải trả,Q2-2025,Tỷ VND,4255.82,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ phải trả,Q2-2025,Tỷ VND,939.71,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ phải trả,Q1-2025,Tỷ VND,13735.24,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ phải trả,Q1-2025,Tỷ VND,7176.63,CĐKT - Nguồn vốn
BAF,Thực phẩm và đồ uống,Nợ phải trả,Q1-2025,Tỷ VND,5518.8,CĐKT - Nguồn vốn
VLC,Thực phẩm và đồ uống,Nợ phải trả,Q1-2025,Tỷ VND,712.78,CĐKT - Nguồn vốn
HAG,Thực phẩm và đồ uống,Nợ phải trả,Q4-2024,Tỷ VND,12955.19,CĐKT - Nguồn vốn
DBC,Thực phẩm và đồ uống,Nợ phải trả,Q4-2024,Tỷ VND,7355.48,CĐKT - Nguồn vốn
