ticker,industry,name,period,unit,value,group
VLC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q3-2024,Lần,12.92,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q2-2024,Lần,151.42,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q2-2024,Lần,172.78,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q2-2024,Lần,252.27,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng nợ/VCSH,Q2-2024,Lần,9.49,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q2-2025,Lần,0.9,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q2-2025,Lần,0.65,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q2-2025,Lần,0.72,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q2-2025,Lần,0.04,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q1-2025,Lần,0.77,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q1-2025,Lần,0.76,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q1-2025,Lần,0.88,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q1-2025,Lần,0.03,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q4-2024,Lần,0.75,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q4-2024,Lần,0.84,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q4-2024,Lần,0.88,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q4-2024,Lần,0.02,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q3-2024,Lần,0.82,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q3-2024,Lần,0.87,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q3-2024,Lần,0.82,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q3-2024,Lần,0.02,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q2-2024,Lần,0.82,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q2-2024,Lần,1.36,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q2-2024,Lần,1.23,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/VCSH,Q2-2024,Lần,0.0,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q2-2025,Lần,0.36,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q2-2025,Lần,0.34,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q2-2025,Lần,0.36,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q2-2025,Lần,0.03,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q1-2025,Lần,0.32,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q1-2025,Lần,0.38,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q1-2025,Lần,0.31,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q1-2025,Lần,0.02,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q4-2024,Lần,0.31,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q4-2024,Lần,0.4,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q4-2024,Lần,0.35,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q4-2024,Lần,0.01,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q3-2024,Lần,0.33,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q3-2024,Lần,0.4,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q3-2024,Lần,0.34,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q3-2024,Lần,0.01,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q2-2024,Lần,0.33,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q2-2024,Lần,0.5,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q2-2024,Lần,0.35,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tổng vốn vay/Tổng TS,Q2-2024,Lần,0.0,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q2-2025,Lần,0.79,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q2-2025,Lần,1.38,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q2-2025,Lần,1.6,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q2-2025,Lần,4.91,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q1-2025,Lần,0.79,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q1-2025,Lần,1.32,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q1-2025,Lần,1.31,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q1-2025,Lần,6.64,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q4-2024,Lần,0.76,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q4-2024,Lần,1.19,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q4-2024,Lần,1.01,Sức khỏe tài chính
VLC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q4-2024,Lần,5.84,Sức khỏe tài chính
HAG,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q3-2024,Lần,0.93,Sức khỏe tài chính
DBC,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q3-2024,Lần,1.25,Sức khỏe tài chính
BAF,Thực phẩm và đồ uống,Tỷ lệ thanh toán hiện thời,Q3-2024,Lần,1.26,Sức khỏe tài chính
