ticker,industry,name,period,unit,value
ORS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,11145350000000.0
AGR,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3244800000000.0
NTC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1904590000000.0
QCG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2053780000000.0002
CSV,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1464040000000.0
MIG,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,9130650000000.0
VC3,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2640650000000.0
PET,Bán lẻ,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,9021310000000.0
DSC,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5756140000000.0
DPR,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2200220000000.0
PTB,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3313720000000.0
TCM,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2690040000000.0
PPC,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2730490000000.0
C4G,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5344010000000.0
SAM,Công nghệ Thông tin,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2203990000000.0
TVS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6787520000000.0
VLC,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4077380000000.0
AGG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5819050000000.0
AAA,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6426370000000.0
PRT,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1957640000000.0
KHG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1726210000000.0
MCM,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2114929999999.9998
AAS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4784790000000.0
ASM,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,13566530000000.0
TDP,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2977490000000.0
PXL,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,478840000000.0
DHC,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2186219999999.9998
