ticker,industry,name,period,unit,value
VND,Dịch vụ tài chính,P/B ,2025-07-29,Lần,1.63
VCI,Dịch vụ tài chính,P/B ,2025-07-29,Lần,2.43
HCM,Dịch vụ tài chính,P/B ,2025-07-29,Lần,2.68
SHS,Dịch vụ tài chính,P/B ,2025-07-29,Lần,1.58
MBS,Dịch vụ tài chính,P/B ,2025-07-29,Lần,2.63
FTS,Dịch vụ tài chính,P/B ,2025-07-29,Lần,3.36
BSI,Dịch vụ tài chính,P/B ,2025-07-29,Lần,2.16
CTS,Dịch vụ tài chính,P/B ,2025-07-29,Lần,3.35
VDS,Dịch vụ tài chính,P/B ,2025-07-29,Lần,1.65
ORS,Dịch vụ tài chính,P/B ,2025-07-29,Lần,0.97
BVS,Dịch vụ tài chính,P/B ,2025-07-29,Lần,1.06
VIX,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,15.6
VND,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,20.53
VCI,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,21.41
HCM,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,45.43
SHS,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,17.09
MBS,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,18.91
FTS,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,36.14
BSI,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,28.15
CTS,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,19.87
VDS,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,21.35
ORS,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,9.49
BVS,Dịch vụ tài chính,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,14.8
VIX,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,36677745.1
VND,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,32044413.06
VCI,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,30240810.0
HCM,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,27268905.94
SHS,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,17710351.96
MBS,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,19360063.37
FTS,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,14223743.27
BSI,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,11274565.08
CTS,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,8412025.47
VDS,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,4624290.0
ORS,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,3679197.19
BVS,Dịch vụ tài chính,Vốn hóa thị trường ,2025-07-29,Triệu VND,2729165.48
BSI,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,-3669.1000000000004
BVS,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,1278.1
CTS,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,4348.480000000003
FTS,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,-6895.689999999995
HCM,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,-9287.599999999999
MBS,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,13156.709999999997
ORS,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,2713.5
SHS,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,42035.49
VCI,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,9474.199999999997
VDS,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,2370.630000000001
VIX,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,-91241.12999999998
VND,Dịch vụ tài chính,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,65531.61
BSI,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,-5.06
BVS,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,0.0
CTS,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,1517.9299999999998
FTS,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,-13.149999999999991
HCM,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,258.60000000000036
MBS,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,0.0
ORS,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,63.92
SHS,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,0.0
VCI,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,-13976.75
VDS,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,115.77
VIX,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,20829.949999999997
VND,Dịch vụ tài chính,Giá trị ròng tự doanh,2025-07-29,Triệu VND,8642.520000000002
