ticker,industry,name,period,unit,value,group
HCM,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.2242,Hiệu quả
MBS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.2664,Hiệu quả
SHS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.4755,Hiệu quả
FTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.477,Hiệu quả
BSI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.2552,Hiệu quả
CTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.2026,Hiệu quả
VDS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.2157,Hiệu quả
ORS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.1452,Hiệu quả
BVS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q1-2025,%,0.2003,Hiệu quả
VIX,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.3609,Hiệu quả
VND,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.3227,Hiệu quả
VCI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.2464,Hiệu quả
HCM,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.2431,Hiệu quả
MBS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.2383,Hiệu quả
SHS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.51,Hiệu quả
FTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.4943,Hiệu quả
BSI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.2928,Hiệu quả
CTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.2239,Hiệu quả
VDS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.2949,Hiệu quả
ORS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.1825,Hiệu quả
BVS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q4-2024,%,0.2019,Hiệu quả
VIX,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.4542,Hiệu quả
VND,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.3784,Hiệu quả
VCI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.2328,Hiệu quả
HCM,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.2507,Hiệu quả
MBS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.2588,Hiệu quả
SHS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.6932,Hiệu quả
FTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.4451,Hiệu quả
BSI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.2831,Hiệu quả
CTS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.1698,Hiệu quả
VDS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.3894,Hiệu quả
ORS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.1707,Hiệu quả
BVS,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q3-2024,%,0.1867,Hiệu quả
VIX,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.4817,Hiệu quả
VND,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.3706,Hiệu quả
VCI,Dịch vụ tài chính,Tỷ suất lợi nhuận thuần,Q2-2024,%,0.2438,Hiệu quả
