ticker,industry,name,period,unit,value,group
VDS,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,67.77,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,17.96,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản cố định,Q3-2024,Tỷ VND,19.59,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản cố định,Q2-2024,Tỷ VND,24.91,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản cố định,Q2-2024,Tỷ VND,102.78,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản cố định,Q2-2024,Tỷ VND,32.02,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản cố định,Q2-2024,Tỷ VND,49.76,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản cố định,Q2-2024,Tỷ VND,182.06,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản cố định,Q2-2024,Tỷ VND,11.26,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản cố định,Q2-2024,Tỷ VND,148.55,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản cố định,Q2-2024,Tỷ VND,29.11,CĐKT - Tài sản
